table,migration_columns,model_files,model_fillable_union,model_casts_union,missing_in_model,extra_in_model,notes
inventory_ledger,created_by|id|inventory_batch_id|organization_id|product_variant_id|quantity_in|quantity_out|reference_id|reference_type|stock_location_id|total_cost|transaction_type|unit_cost,app\Models\Inventory/InventoryLedger.php,created_by|inventory_batch_id|organization_id|product_variant_id|quantity_in|quantity_out|reference_id|reference_type|stock_location_id|total_cost|transaction_type|unit_cost,quantity_in:decimal:6;quantity_out:decimal:6;unit_cost:decimal:6;total_cost:decimal:6,id,,
inventory_reservations,condition_id|consumed_at|expires_at|inventory_batch_id|organization_id|priority|product_variant_id|quantity|reference|reference_id|reference_type|released_at|status|stock_location_id,,,,condition_id|consumed_at|expires_at|inventory_batch_id|organization_id|priority|product_variant_id|quantity|reference|reference_id|reference_type|released_at|status|stock_location_id,,NO_MODEL_FOUND
invoices,approved_at|approved_by|branch_id|created_by|currency_code|customer_id|date|document_number|due_amount|exchange_rate|fbr_invoice_number|financial_year_id|grand_total|journal_id|organization_id|paid_amount|pos_session_id|reviewed_at|reviewed_by|status|sub_total|tax_total|updated_by|voucher_type_id,app\Models\Voucher/Invoice.php,approved_at|approved_by|branch_id|created_by|customer_id|date|document_number|fbr_invoice_number|grand_total|organization_id|pos_session_id|reviewed_at|reviewed_by|status|updated_by|voucher_type_id,grand_total:decimal:4;date:date,currency_code|due_amount|exchange_rate|financial_year_id|journal_id|paid_amount|sub_total|tax_total,,
item_stock_summary,calculated_at|calculated_by|location_id|location_type|organization_id|product_variant_id|total_quantity|total_stock_value|weighted_average_cost,,,,calculated_at|calculated_by|location_id|location_type|organization_id|product_variant_id|total_quantity|total_stock_value|weighted_average_cost,,NO_MODEL_FOUND
job_batches,cancelled_at|created_at|failed_job_ids|failed_jobs|finished_at|id|name|options|pending_jobs|total_jobs,,,,cancelled_at|created_at|failed_job_ids|failed_jobs|finished_at|id|name|options|pending_jobs|total_jobs,,NO_MODEL_FOUND
jobs,attempts|available_at|created_at|payload|queue|reserved_at,,,,attempts|available_at|created_at|payload|queue|reserved_at,,NO_MODEL_FOUND
journal_lines,account_id|branch_id|credit|debit|journal_id|line_memo|outlet_id|warehouse_id,,,,account_id|branch_id|credit|debit|journal_id|line_memo|outlet_id|warehouse_id,,NO_MODEL_FOUND
journals,branch_id|created_by|date|document_number|financial_year_id|is_posted|is_reversed|memo|organization_id|outlet_id|reference|reference_id|reference_type|voucher_no|warehouse_id,,,,branch_id|created_by|date|document_number|financial_year_id|is_posted|is_reversed|memo|organization_id|outlet_id|reference|reference_id|reference_type|voucher_no|warehouse_id,,NO_MODEL_FOUND
organization_policies,category|description|is_locked|key|organization_id|value,app\Models\Governance/OrganizationPolicy.php,category|description|is_locked|key|organization_id|value,value:array;is_locked:boolean,,,
organizations,address|business_start_date|city|contact_no|country|currency_code|email|favicon|incorporation_no|is_active|latitude|legal_name|logo|longitude|name|ntn|policies_locked|state|strn|website|zip_code,app\Models\Core/Organization.php,address|business_start_date|city|contact_no|country|currency_code|email|favicon|incorporation_no|is_active|latitude|legal_name|logo|longitude|name|ntn|policies_locked|state|strn|website|zip_code,business_start_date:date;is_active:boolean;policies_locked:boolean,,,
outle\1_\2s,,app\Models\Core/OutletSection.php,code|display_order|is_active|is_pos_counter|name|organization_id|outlet_id|parent_section_id|section_category_id,is_pos_counter:boolean;is_active:boolean,,code|display_order|is_active|is_pos_counter|name|organization_id|outlet_id|parent_section_id|section_category_id,NO_MIGRATION_FOUND
outlet_sections,code|display_order|is_active|is_pos_counter|name|organization_id|outlet_id|parent_section_id|section_category_id,,,,code|display_order|is_active|is_pos_counter|name|organization_id|outlet_id|parent_section_id|section_category_id,,NO_MODEL_FOUND
outlets,address|branch_id|city|code|contact_no|contact_person|country|email|is_active|latitude|longitude|name|organization_id|state|warehouse_id|zip_code,app\Models\Core/Outlet.php,address|branch_id|city|code|contact_no|contact_person|country|email|is_active|latitude|longitude|name|organization_id|parent_section_id|state|warehouse_id|zip_code,is_active:boolean;latitude:decimal:7;longitude:decimal:7,,parent_section_id,
partne\1_\2s,,app\Models\Partner/PartnerCategory.php,is_active|name|organization_id|type,is_active:boolean,,is_active|name|organization_id|type,NO_MIGRATION_FOUND
partner_categories,is_active|name|organization_id|type,,,,is_active|name|organization_id|type,,NO_MODEL_FOUND
password_reset_tokens,created_at|email|token,,,,created_at|email|token,,NO_MODEL_FOUND
